created_at,category,title,handle,url,vendor,product_type,variants,price_min,price_max,tags
2025-02-06T10:55:03+09:00,カード/書籍,hololive OFFICIAL CARD GAME スタートデッキ「黄 不知火フレア」,hololiveofficialcardgame_hsd07,https://shop.hololivepro.com/products/hololiveofficialcardgame_hsd07,hololive production official shop,,2,990,990,_ng_with_normal_group:hcg2409 | addons:shipment:ignore_order | hololiveofficialcardgame | Recommended_MERCH
2025-02-06T11:55:45+09:00,カード/書籍,hololive OFFICIAL CARD GAME オフィシャルホロカスリーブvol.4〜vol.8,hololiveofficialcardgame_cardsleeve_vol4-8,https://shop.hololivepro.com/products/hololiveofficialcardgame_cardsleeve_vol4-8,hololive production official shop,,5,990,990,_ng_with_normal_group:hcg2409 | addons:shipment:ignore_order | hololiveofficialcardgame | Recommended_MERCH
2025-02-07T09:34:27+09:00,その他,百鬼あやめ あやめのバレンタイングッズ,nakiriayame_ayamesvalentinemerch,https://shop.hololivepro.com/products/nakiriayame_ayamesvalentinemerch,Nakiri Ayame,,6,550,9350,Generation_ホロライブ2期生 | Group_ホロライブ | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_百鬼あやめ | デジタルコンテンツ | 受注生産商品
2025-02-07T10:58:04+09:00,誕生日記念,ムーナ・ホシノヴァ 誕生日記念2025,moonahoshinova_bd2025,https://shop.hololivepro.com/products/moonahoshinova_bd2025,Moona Hoshinova,,8,660,16830,Generation_ホロライブインドネシア1期生 | Group_ホロライブインドネシア | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_ムーナ・ホシノヴァ | デジタルコンテンツ | 受注生産商品
2025-02-10T09:32:29+09:00,ボイス,ホロスターズEnglish「オー、マイ ペット Needy Kitty」ASMRボイス,holostarsen_asmrvoice_ohmypet_needykitty,https://shop.hololivepro.com/products/holostarsen_asmrvoice_ohmypet_needykitty,HOLOSTARS English,,4,2750,8250,Generation_ARMIS | Generation_TEMPUS | Group_ホロスターズEnglish | Recommended_デジタルコンテンツ | Talent_クリムゾン・ルーズ | Talent_マキナ・X・フレオン | Talent_定水寺シンリ | デジタルのみ | デジタルコンテンツ
2025-02-10T17:40:01+09:00,その他,Moona Hoshinova 1st Album『PANDORA』,moonahoshinova_1stal_pandora,https://shop.hololivepro.com/products/moonahoshinova_1stal_pandora,Moona Hoshinova,,2,3300,7700,_ng_with_normal_group:MoonaHoshinova1stAlbum | CD | Generation_ホロライブインドネシア1期生 | Group_ホロライブインドネシア | Recommended_MERCH | Talent_ムーナ・ホシノヴァ | 受注生産商品
2025-02-12T13:19:51+09:00,誕生日記念,アキ・ローゼンタール 誕生日記念2025,akirosenthal_bd2025,https://shop.hololivepro.com/products/akirosenthal_bd2025,Aki Rosenthal,,7,2750,18700,Generation_ホロライブ1期生 | Group_ホロライブ | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_アキ・ローゼンタール | デジタルコンテンツ | 受注生産商品
2025-02-12T13:55:56+09:00,その他,-Art Selection- 猫又おかゆ,artselection_nekomataokayu,https://shop.hololivepro.com/products/artselection_nekomataokayu,Nekomata Okayu,,3,550,5500,artselection | Generation_ホロライブゲーマーズ | Group_ホロライブ | Recommended_MERCH | Talent_猫又おかゆ
2025-02-12T14:16:21+09:00,その他,-Art Selection- 戌神ころね,artselection_inugamikorone,https://shop.hololivepro.com/products/artselection_inugamikorone,Inugami Korone,,3,550,5500,artselection | Generation_ホロライブゲーマーズ | Group_ホロライブ | Recommended_MERCH | Talent_戌神ころね
2025-02-13T10:03:29+09:00,ボイス,ホロライブ 日常ささやき「寝かしつけてくれる」ボイス,hololive_asmr_puttingyoutosleep,https://shop.hololivepro.com/products/hololive_asmr_puttingyoutosleep,hololive production official shop,,17,1000,16000,Generation_FLOWGLOW | Generation_ReGLOSS | Generation_ホロライブ0期生 | Generation_ホロライブ1期生 | Generation_ホロライブ2期生 | Generation_ホロライブ3期生 | Generation_ホロライブ5期生 | Generation_秘密結社holoX | Group_hololiveDEV_IS | Group_ホロライブ | Recommended_デジタルコンテンツ | Talent_AZKi | Talent_ロボ子さん | Talent_一条莉々華 | Talent_儒烏風亭らでん | Talent_博衣こより | Talent_夏色まつり | Talent_宝鐘マリン | Talent_尾丸ポルカ | Talent_水宮枢 | Talent_白銀ノエル | Talent_百鬼あやめ | Talent_綺々羅々ヴィヴィ | Talent_虎金妃笑虎 | Talent_輪堂千速 | Talent_雪花ラミィ | Talent_響咲リオナ | デジタルのみ | デジタルコンテンツ
